Acetobacter aurantius
Acinetobacter baumannii
Actinomyces israelii
Agrobacterium radiobacter
Agrobacterium tumefaciens
Anaplasma phagocytophilum
Azorhizobium caulinodans
Azotobacter vinelandii
viridans streptococci
Bacillus anthracis
Bacillus brevis
Bacillus cereus
Bacillus fusiformis
Bacillus licheniformis
Bacillus megaterium
Bacillus mycoides
Bacillus stearothermophilus
Bacillus subtilis
Bacillus thuringiensis
Bacteroides fragilis
Bacteroides gingivalis
Bacteroides melaninogenicus
Bartonella henselae
Bartonella quintana
Bordetella bronchiseptica
Bordetella pertussis
Borrelia burgdorferi
Brucella abortus
Brucella melitensis
Brucella suis
Burkholderia mallei
Burkholderia pseudomallei
Burkholderia cepacia
C. difficile
Calymmatobacterium granulomatis
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter pylori
Chlamydia trachomatis
Chlamydophila pneumoniae
Chlamydophila psittaci
Clostridioides difficile
Clostridium botulinum
Clostridium difficile
Clostridium perfringens
Clostridium tetani
Corynebacterium diphtheriae
Corynebacterium fusiforme
Coxiella burnetii
Ehrlichia chaffeensis
Ehrlichia ewingii
Eikenella corrodens
Enterobacter cloacae
Enterococcus avium
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus maloratus
Escherichia coli
E. coli
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Haemophilus ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus pertussis
Haemophilus vaginalis
Helicobacter pylori
K. pneumoniae
Klebsiella spp.
Klebsiella pneumoniae
Lactobacillus acidophilus
Lactobacillus bulgaricus
Lactobacillus casei
Lactococcus lactis
Legionella pneumophila
Leptospira interrogans
Leptospira noguchii
Listeria monocytogenes
Methanobacterium extroquens
Microbacterium multiforme
Micrococcus luteus
Moraxella catarrhalis
Mycobacterium avium
Mycobacterium bovis
Mycobacterium diphtheriae
Mycobacterium intracellulare
Mycobacterium leprae
Mycobacterium lepraemurium
Mycobacterium phlei
Mycobacterium smegmatis
Mycobacterium tuberculosis
Mycoplasma fermentans
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma penetrans
Mycoplasma pneumoniae
Mycoplasma mexican
Neisseria gonorrhoeae
Neisseria meningitidis
Pasteurella multocida
Pasteurella tularensis
Peptostreptococcus
Porphyromonas gingivalis
Prevotella melaninogenica
Pseudomonas aeruginosa
Rhizobium radiobacter
Rickettsia prowazekii
Rickettsia psittaci
Rickettsia quintana
Rickettsia rickettsii
Rickettsia trachomae
Rochalimaea henselae
Rochalimaea quintana
Rothia dentocariosa
Salmonella enteritidis
Salmonella typhi
Salmonella typhimurium
Serratia marcescens
Shigella dysenteriae
Spirillum volutans
Staphylococcus aureus
Staphylococcus epidermidis
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus avium
Streptococcus bovis
Streptococcus cricetus
Streptococcus faceium
Streptococcus faecalis
Streptococcus ferus
Streptococcus gallinarum
Streptococcus lactis
Streptococcus mitior
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus rattus
Streptococcus salivarius
Streptococcus sanguis
Streptococcus sobrinus
Ureaplasma urealyticum
Vibrio cholerae
Vibrio comma
Vibrio parahaemolyticus
Vibrio vulnificus
Yersinia enterocolitica
Yersinia pestis
Yersinia pseudotuberculosis
